house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Đông Bắc,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,56.98,43.0,1,1
Đông Bắc,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,56.98,43.0,1,1
Đông Bắc,Sổ hồng riêng,Đại Mỗ,Hà Nội, Phường Tây Mỗ,56.98,43.0,1,1
Bắc,Sổ hồng riêng,Phố Dương Đình Nghệ,Hà Nội, Phường Yên Hoà,43.64,110.0,3,2
Tây Bắc,Sổ hồng riêng,Bát Nàn,Hồ Chí Minh, Phường Thạnh Mỹ Lợi (Quận 2 cũ),64.38,73.0,2,2
Nam,Hợp đồng mua bán, TP. Hồ Chí Minh,Hồ Chí Minh, Phường An Lạc,51.25,80.0,2,2
Tây Nam,Sổ hồng riêng, Nguyễn Lương Bằng,Hồ Chí Minh, Xã Phú Xuân,24.03,77.0,2,2
Đông Bắc,Sổ hồng riêng,15B,Hồ Chí Minh, Phường Phú Mỹ,27.47,91.0,3,2
Tây Nam,Sổ hồng riêng,Trịnh Quang Nghị,Hồ Chí Minh, Xã Phong Phú,28.66,82.0,3,2
Tây,Đang chờ sổ,Ngõ 6 Vĩnh Phúc,Hà Nội, Phường Vĩnh Phúc,12.0,50.0,2,1
Tây Nam,Sổ hồng riêng, Giang Biên,Hà Nội, Phường Giang Biên,44.44,72.0,2,2
Nam,Hợp đồng mua bán,Trường Lưu,Hồ Chí Minh, Phường Long Trường (Quận 9 cũ),47.62,63.0,2,1
Đông Nam,Sổ hồng riêng, Đường Mễ Trì,Hà Nội, Phường Mễ Trì,51.23,65.0,2,1
Đông Bắc,Hợp đồng mua bán, Hồ Chí Minh,Hồ Chí Minh, Phường 22,86.88,62.5,2,1
Đông Nam,Sổ hồng riêng,Đại lộ Thăng Long,Hà Nội, Phường Đại Mỗ,60.81,74.0,3,2
Bắc,Sổ hồng riêng, Khu đô thị Cityland Park Hills - Số 18 Đường Phan Văn Trị,Hồ Chí Minh, Phường 10,55.98,92.0,3,2
Bắc,Sổ hồng riêng, Khu đô thị Cityland Park Hills - Số 18 Đường Phan Văn Trị,Hồ Chí Minh, Phường 10,55.98,92.0,3,2
Tây Nam,Sổ hồng riêng,Đường số 6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),33.17,60.0,2,2
Tây Nam,Hợp đồng mua bán, Nguyễn Văn Linh,Hồ Chí Minh, Xã Phong Phú,25.5,50.0,2,2
Tây,Sổ hồng riêng,Đường Đỗ Xuân Hợp,Hồ Chí Minh, Phường Phước Long B (Quận 9 cũ),34.55,52.0998,1,1
Tây,Đang chờ sổ, 208 Đường Nguyễn Hữu Cảnh,Hồ Chí Minh, Phường 22,66.25,80.0,2,2
Tây Bắc,Sổ hồng riêng,Phùng Hưng,Hà Nội, Phường Phúc La,35.63,56.0,2,2
Nam,Hợp đồng mua bán,Thạnh Xuân 13,Hồ Chí Minh, Phường Thạnh Xuân,39.66,58.0,2,1
Bắc,Sổ hồng riêng,An Lạc,Hồ Chí Minh, Phường An Lạc A,43.38,61.09,2,0
Tây Bắc,Đang chờ sổ,Đường số 6,Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ),28.46,61.4799,2,2
Đông Bắc,Sổ hồng riêng,Đường Lê Văn Lương,Hà Nội, Phường Nhân Chính,55.14,214.0,4,0
Tây Nam,Hợp đồng mua bán,Trịnh Quang Nghị,Hồ Chí Minh, Phường 7,30.35,57.0,2,2
